time start,time end,duration (s),source address,destination address,source port,destination port ,protocol,flags,packets,bytes
2020-04-28 14:42:58,2020-04-28 14:43:00,2.334,10.130.16.46,193.136.126.43,80,58745,TCP,.AP..F,246,361010
2020-04-28 14:42:58,2020-04-28 14:43:00,2.334,193.136.126.43,10.130.16.46,58745,80,TCP,.AP..F,147,9696
2020-04-28 14:42:58,2020-04-28 14:43:00,1.575,10.130.16.46,193.136.126.43,80,58740,TCP,.A...F,2,104
2020-04-28 14:42:58,2020-04-28 14:43:00,1.575,193.136.126.43,10.130.16.46,58740,80,TCP,.A...F,2,104
2020-04-28 14:42:58,2020-04-28 14:42:58,0.073,54.37.22.167,193.136.126.43,39532,443,TCP,.A...F,2,104
2020-04-28 14:42:58,2020-04-28 14:42:58,0.073,193.136.126.43,54.37.22.167,443,39532,TCP,.A...F,1,52
2020-04-28 14:42:59,2020-04-28 14:43:01,1.676,54.175.144.198,193.136.126.43,28972,443,TCP,.AP.SF,14,1487
2020-04-28 14:42:59,2020-04-28 14:43:01,1.676,193.136.126.43,54.175.144.198,443,28972,TCP,.AP.SF,12,18861
2020-04-28 14:42:59,2020-04-28 14:44:28,88.960,188.37.20.235,193.136.126.43,50118,443,TCP,.A.R..,5,242
2020-04-28 14:42:59,2020-04-28 14:44:28,88.960,193.136.126.43,188.37.20.235,443,50118,TCP,.AP..F,4,239
2020-04-28 14:42:59,2020-04-28 14:44:28,88.960,188.37.20.235,193.136.126.43,50116,443,TCP,.A.R..,5,242
2020-04-28 14:42:59,2020-04-28 14:44:28,88.960,193.136.126.43,188.37.20.235,443,50116,TCP,.AP..F,4,239
2020-04-28 14:42:59,2020-04-28 14:44:28,88.959,188.37.20.235,193.136.126.43,50114,443,TCP,.A.R..,5,242
2020-04-28 14:42:59,2020-04-28 14:44:28,88.959,193.136.126.43,188.37.20.235,443,50114,TCP,.AP..F,4,239
2020-04-28 14:42:59,2020-04-28 14:44:28,88.960,188.37.20.235,193.136.126.43,33855,443,TCP,.A.R..,4,190
2020-04-28 14:42:59,2020-04-28 14:44:28,88.960,193.136.126.43,188.37.20.235,443,33855,TCP,.AP..F,4,239
2020-04-28 14:42:59,2020-04-28 14:44:28,88.960,188.37.20.235,193.136.126.43,33853,443,TCP,.A.R..,4,190
2020-04-28 14:42:59,2020-04-28 14:44:28,88.960,193.136.126.43,188.37.20.235,443,33853,TCP,.AP..F,4,239
2020-04-28 14:42:59,2020-04-28 14:44:28,88.959,188.37.20.235,193.136.126.43,33851,443,TCP,.A.R..,5,242
2020-04-28 14:42:59,2020-04-28 14:44:28,88.959,193.136.126.43,188.37.20.235,443,33851,TCP,.AP..F,4,239
2020-04-28 14:42:59,2020-04-28 14:42:59,0.017,148.71.14.73,193.136.126.43,39916,443,TCP,.A...F,2,104
2020-04-28 14:42:59,2020-04-28 14:42:59,0.017,193.136.126.43,148.71.14.73,443,39916,TCP,.A...F,1,52
2020-04-28 14:42:59,2020-04-28 14:42:59,0.016,148.71.14.73,193.136.126.43,39900,443,TCP,.A...F,2,104
2020-04-28 14:42:59,2020-04-28 14:42:59,0.016,193.136.126.43,148.71.14.73,443,39900,TCP,.A...F,1,52
2020-04-28 14:42:59,2020-04-28 14:42:59,0.017,148.71.14.73,193.136.126.43,39908,443,TCP,.A...F,2,104
2020-04-28 14:42:59,2020-04-28 14:42:59,0.017,193.136.126.43,148.71.14.73,443,39908,TCP,.A...F,1,52
2020-04-28 14:42:59,2020-04-28 14:42:59,0.020,148.71.14.73,193.136.126.43,39910,443,TCP,.A...F,2,104
2020-04-28 14:42:59,2020-04-28 14:42:59,0.020,193.136.126.43,148.71.14.73,443,39910,TCP,.A...F,1,52
2020-04-28 14:42:59,2020-04-28 14:43:00,0.020,148.71.14.73,193.136.126.43,21039,443,TCP,.A...F,2,104
2020-04-28 14:42:59,2020-04-28 14:43:00,0.020,193.136.126.43,148.71.14.73,443,21039,TCP,.A...F,1,52
2020-04-28 14:42:59,2020-04-28 14:43:00,0.021,148.71.14.73,193.136.126.43,21041,443,TCP,.A...F,2,104
2020-04-28 14:42:59,2020-04-28 14:43:00,0.021,193.136.126.43,148.71.14.73,443,21041,TCP,.A...F,1,52
2020-04-28 14:43:00,2020-04-28 14:43:02,1.953,10.130.16.46,193.136.126.43,80,58763,TCP,.AP.SF,216,314465
2020-04-28 14:43:00,2020-04-28 14:43:02,1.953,193.136.126.43,10.130.16.46,58763,80,TCP,.AP.SF,138,8964
2020-04-28 14:43:00,2020-04-28 14:43:33,32.955,95.93.125.188,193.136.126.43,54297,443,TCP,.AP.SF,383,23179
2020-04-28 14:43:00,2020-04-28 14:43:33,32.955,193.136.126.43,95.93.125.188,443,54297,TCP,.AP.SF,123,833093
2020-04-28 14:43:01,2020-04-28 14:43:33,32.839,95.93.125.188,193.136.126.43,54300,443,TCP,.AP.SF,336,24052
2020-04-28 14:43:01,2020-04-28 14:43:33,32.839,193.136.126.43,95.93.125.188,443,54300,TCP,.AP.SF,78,602539
2020-04-28 14:43:01,2020-04-28 14:43:33,32.842,95.93.125.188,193.136.126.43,54298,443,TCP,.AP.SF,346,23377
2020-04-28 14:43:01,2020-04-28 14:43:33,32.842,193.136.126.43,95.93.125.188,443,54298,TCP,.AP.SF,65,495108
2020-04-28 14:43:01,2020-04-28 14:43:33,32.851,95.93.125.188,193.136.126.43,54299,443,TCP,.AP.SF,160,10441
2020-04-28 14:43:01,2020-04-28 14:43:33,32.851,193.136.126.43,95.93.125.188,443,54299,TCP,.AP.SF,58,280950
2020-04-28 14:43:02,2020-04-28 14:43:03,0.854,10.130.16.46,193.136.126.43,80,58795,TCP,.AP.SF,176,257047
2020-04-28 14:43:02,2020-04-28 14:43:03,0.854,193.136.126.43,10.130.16.46,58795,80,TCP,.AP.SF,102,7828
2020-04-28 14:43:03,2020-04-28 14:43:33,30.505,95.93.125.188,193.136.126.43,54314,443,TCP,.AP.SF,13,2035
2020-04-28 14:43:03,2020-04-28 14:43:33,30.505,193.136.126.43,95.93.125.188,443,54314,TCP,.AP.SF,10,7493
2020-04-28 14:43:04,2020-04-28 14:43:35,30.733,95.93.125.188,193.136.126.43,54316,443,TCP,.AP.SF,81,11442
2020-04-28 14:43:04,2020-04-28 14:43:35,30.733,193.136.126.43,95.93.125.188,443,54316,TCP,.AP.SF,29,112510
2020-04-28 14:43:04,2020-04-28 14:43:07,3.609,10.130.16.46,193.136.126.43,80,58812,TCP,.AP.SF,112,153298
